,index,film,budget_processed,genre_1,original_language,popularity,release_date,runtime,revenue
67,67,A Touch of Sin,18000000.0,Drama,zh,6.303552,10/4/13,133.0,154120.0
68,68,To Kill a Mockingbird,2000000,Crime,en,14.284787,12/25/62,129.0,13129846.0
69,69,The Fast and the Furious: Tokyo Drift,85000000,Action,en,2.238808,6/3/06,104.0,158468292.0
70,70,The Jacket,29000000,Drama,en,12.092096,3/4/05,103.0,21126225.0
71,71,The Motorcycle Diaries,18000000.0,Drama,es,7.667491,2/6/04,126.0,16756372.0
72,72,Cry-Baby,11000000,Comedy,en,8.290384,4/5/90,85.0,8266343.0
73,73,Czech Dream,18000000.0,Crime,cs,0.919556,3/30/04,90.0,17393.0
74,74,Jackson County Jail,445000,Crime,en,2.482536,3/31/76,84.0,2300000.0
75,75,Fright Night,17000000,Horror,en,9.665251,8/18/11,106.0,24922237.0
76,76,Kandukondain Kandukondain,500000,Drama,ta,0.660663,5/5/00,157.0,500000.0
77,77,Caddyshack,6000000,Comedy,en,10.451986,7/25/80,98.0,39846344.0
78,78,Sharky's Machine,18000000.0,Crime,en,2.633399,12/18/81,122.0,35610100.0
79,79,31,1500000,Horror,en,6.636625,9/15/16,102.0,779820.0
80,80,Dark Blue,15000000,Action,en,4.98408,12/14/02,118.0,9237470.0
81,81,Shopgirl,10284523,Comedy,en,4.349046,10/21/05,104.0,11588205.0
82,82,The Skeleton Key,43000000,Drama,en,10.947957,7/29/05,104.0,91974818.0
83,83,2010,28000000,Thriller,en,7.482865,12/6/84,116.0,40400657.0
84,84,Silent House,2000000,Horror,en,10.239941,1/21/11,85.0,13101672.0
85,85,Congo,50000000,Action,en,7.260574,6/9/95,109.0,152022101.0
86,86,Kramer vs. Kramer,8000000,Drama,en,9.741644,12/18/79,105.0,106260000.0
87,87,Rumble in the Bronx,7500000,Crime,cn,12.314278,1/30/95,91.0,32392047.0
88,88,The Zookeeper's Wife,20000000,Drama,en,13.655178,3/31/17,126.0,13162475.0
89,89,Sommersby,18000000.0,Drama,en,4.359884,2/5/93,109.0,140081992.0
90,90,Kill Bill: Vol. 1,30000000,Action,en,25.261865,10/10/03,111.0,180949000.0
91,91,His Secret Life,18000000.0,Drama,it,3.83196,3/16/01,106.0,215339.0
92,92,The Horseman on the Roof,35000000,War,en,1.690768,9/20/95,135.0,15000000.0
93,93,Hunger,18000000.0,Drama,en,14.322814,5/15/08,96.0,2724474.0
94,94,Mulholland Drive,15000000,Thriller,en,18.184056,5/16/01,147.0,20117339.0
95,95,And Here's What's Happening to Me,18000000.0,Drama,ru,0.181963,12/9/12,72.0,14353.0
96,96,Sleepless Night,2500000,Action,fr,2.942355,11/14/11,98.0,3358.0
97,97,Target,18000000.0,Fantasy,ru,1.042112,6/26/11,158.0,73000.0
98,98,"Tad, the Lost Explorer",10500000,Animation,es,11.003515,8/31/12,90.0,23000000.0
99,99,Colors,6000000,Action,en,5.529808,4/15/88,120.0,46616067.0
100,100,Dark Angel,7000000,Action,en,7.958502,1/26/90,91.0,9229401.0
101,101,A Beautiful Mind,60000000,Drama,en,11.93646,12/11/01,135.0,313542341.0
102,102,Going by the Book,18000000.0,Action,ko,1.066558,8/18/07,102.0,14961069.0
103,103,Won't Back Down,18000000.0,Drama,en,2.401289,9/28/12,121.0,5310554.0
104,104,Recep İvedik 4,18000000.0,Comedy,tr,1.590383,2/20/14,117.0,149521495.0
105,105,Belle,10900000,Drama,en,13.454169,9/8/13,105.0,16505460.0
106,106,Extraordinary Measures,31000000,Drama,en,6.523155,1/21/10,105.0,15134293.0
107,107,Braveheart,72000000,Action,en,20.755149,5/24/95,177.0,210000000.0
108,108,An Ideal Husband,14000000,Drama,en,3.873796,4/15/99,97.0,18535191.0
109,109,Hawaii,15000000,Drama,en,3.210693,10/10/66,189.0,34562222.0
110,110,Bandits,75000000,Action,en,13.136791,10/12/01,123.0,67631903.0
111,111,Little Black Book,35000000,Comedy,en,5.093704,8/6/04,111.0,22034832.0
112,112,In the Heart of the Sea,100000000,Thriller,en,11.696923,11/20/15,122.0,93820758.0
113,113,Biloxi Blues,20000000,Comedy,en,4.619593,3/25/88,106.0,51684798.0
114,114,The Lord of the Rings: The Fellowship of the Ring,93000000,Adventure,en,32.070725,12/18/01,178.0,871368364.0
115,115,Undercover Brother,25000000,Action,en,5.00725,5/31/02,86.0,41604473.0
116,116,Back to 1942,18000000.0,Drama,zh,1.678013,11/1/12,145.0,311.0
117,117,Wild Hogs,18000000.0,Action,en,11.356011,3/2/07,100.0,253625427.0
118,118,Boxing Helena,18000000.0,Drama,en,4.304224,6/18/93,107.0,1796389.0
119,119,Mr. Nice Guy,12716953,Crime,cn,6.183021,1/31/97,113.0,18814720.0
120,120,Rush Hour 2,90000000,Action,en,8.345985,8/3/01,90.0,347325802.0
121,121,Tarzan,150000000,Adventure,en,12.453452,6/18/99,88.0,448000000.0
122,122,Loose Cannons,1500000,Action,en,1.961208,2/9/90,94.0,5585154.0
123,123,Romeo Must Die,25000000,Action,en,8.369176,3/20/00,115.0,91036760.0
124,124,(500) Days of Summer,7500000,Comedy,en,16.376657,7/17/09,95.0,60722734.0
125,125,The Children of Huang Shi,40000000,Drama,zh,14.622493,7/3/08,125.0,7400000.0
126,126,Corvette Summer,18000000.0,Action,en,5.695908,6/2/78,105.0,15500000.0
127,127,The Gift,10000000,Horror,en,7.886926,12/22/00,111.0,12008642.0
128,128,The Fog,18000000,Horror,en,9.929809,10/14/05,100.0,46201432.0
129,129,Get on the Bus,2400000,Drama,en,5.230661,10/16/96,120.0,5731103.0
130,130,Alan Partridge: Alpha Papa,4000000,Comedy,en,10.130541,7/24/13,90.0,9800000.0
131,131,The Good Doctor,6000000,Drama,en,8.278079,1/1/11,93.0,5206.0
132,132,The Endurance: Shackleton's Legendary Antarctic Expedition,18000000.0,Documentary,en,1.079975,9/2/00,97.0,2452566.0
133,133,Due Date,65000000,Comedy,en,11.73956,11/4/10,95.0,211780824.0
134,134,"Run, Fatboy, Run",10000000,Comedy,en,11.840495,9/6/07,100.0,33000000.0
135,135,Ten Canoes,2000000,Adventure,en,1.372493,6/29/06,90.0,300000.0
136,136,Cowgirls n' Angels,18000000.0,Drama,en,2.490032,5/25/12,92.0,120680.0
137,137,PCU,9000000,Comedy,en,8.888278,4/29/94,79.0,4350774.0
138,138,Frozen,18000000.0,Thriller,en,10.245682,2/5/10,93.0,3065860.0
139,139,X2,110000000,Adventure,en,0.913096,4/24/03,133.0,407711549.0
140,140,Star!,14320000,Drama,en,0.585397,7/18/68,176.0,14000000.0
141,141,Girl with a Pearl Earring,18000000.0,Drama,en,7.008512,8/31/03,101.0,31466789.0
142,142,The Bronze,3500000,Drama,en,5.353826,1/22/16,108.0,615816.0
143,143,The Informers,18000000,Drama,en,6.675032,11/5/08,98.0,382174.0
144,144,Wait Until Dark,4000000,Horror,en,6.216637,10/26/67,108.0,11000000.0
145,145,Frank & Lola,18000000.0,Drama,en,3.805811,12/9/16,88.0,9188.0
146,146,Police Academy 5: Assignment Miami Beach,18000000.0,Comedy,en,10.278957,3/17/88,90.0,19510371.0
147,147,Snowpiercer,39200000,Action,ko,14.131906,8/1/13,126.0,86758912.0
148,148,Beethoven,18000000.0,Comedy,en,9.322717,4/3/92,87.0,147214049.0
149,149,Dark Tide,25000000,Thriller,en,5.405958,3/28/12,113.0,432274.0
150,150,Windwalker,18000000.0,Adventure,en,1.178642,12/12/80,108.0,18.0
151,151,Holy Hell,18000000.0,Documentary,en,1.279443,1/25/16,100.0,16905.0
152,152,Paperhouse,18000000.0,Drama,en,3.520171,1/1/88,92.0,241.0
153,153,The Boy Next Door,4000000,Thriller,en,10.200398,1/23/15,91.0,52425855.0
154,154,Vigilante,18000000.0,Action,en,2.620456,1/4/83,90.0,5091888.0
155,155,Return to Never Land,20000000,Adventure,en,8.759774,2/14/02,72.0,109862682.0
156,156,Shadowboxing,3500000,Action,ru,0.768181,3/5/05,126.0,8262833.0
157,157,American Cyborg: Steel Warrior,18000000.0,Action,en,0.56257,1/7/94,94.0,447784.0
158,158,Get Carter,63600000,Action,en,6.047757,10/6/00,102.0,19412993.0
159,159,The Quick and the Dead,32000000,Action,en,7.54701,2/9/95,107.0,18552460.0
160,160,Winter Passing,3500000,Comedy,en,4.456904,2/7/06,98.0,113783.0
161,161,Casual Sex?,18000000.0,Comedy,en,1.319188,4/22/88,88.0,12277096.0
162,162,Your Sister's Sister,125000,Drama,en,10.850569,9/11/11,90.0,3200000.0
163,163,Rushmore,9000000,Comedy,en,5.997054,9/17/98,93.0,17096053.0
164,164,The Reaping,40000000,Thriller,en,9.825841,4/5/07,99.0,62771059.0
165,165,Ghosts Can't Do It,18000000.0,Fantasy,en,0.836108,1/1/89,90.0,25000.0
166,166,Koyaanisqatsi,18000000.0,Documentary,en,8.802715,6/6/82,87.0,1723872.0
167,167,The Exorcism of Emily Rose,19000000,Crime,en,10.966015,9/9/05,122.0,144216468.0
168,168,The Return of the Pink Panther,5000000,Mystery,en,6.501177,5/21/75,113.0,41833347.0
169,169,Mad Max 2: The Road Warrior,2000000,Adventure,en,11.189831,12/24/81,95.0,24600832.0
170,170,Police Academy 2: Their First Assignment,18000000.0,Comedy,en,9.021668,3/28/85,87.0,55600000.0
171,171,House of Games,18000000.0,Crime,en,5.524866,10/11/87,102.0,2585639.0
172,172,Harper,3500000,Action,en,8.55931,2/23/66,121.0,12000000.0
173,173,Return to the Blue Lagoon,11000000,Adventure,en,8.929393,8/2/91,98.0,2807854.0
174,174,A Few Best Men,12468389,Comedy,en,6.116093,10/14/11,97.0,29007412.0
175,175,The Fast and the Furious,38000000,Action,en,1.406181,6/22/01,106.0,207283925.0
176,176,Supernova,90000000,Horror,en,5.496624,1/14/00,91.0,14828081.0
177,177,Boys Life 2,18000000.0,Drama,en,0.060645,3/7/97,74.0,532654.0
178,178,First Blood,15000000,Action,en,14.778884,10/22/82,93.0,125212904.0
179,179,Licence to Kill,32000000,Adventure,en,11.137888,7/7/89,133.0,156167015.0
180,180,Pride and Glory,30000000,Thriller,en,5.844016,9/9/08,130.0,31148328.0
181,181,The Magdalene Sisters,18000000.0,Drama,en,5.725912,10/24/02,119.0,20957001.0
182,182,Only the Lonely,18000000.0,Comedy,en,10.313689,5/24/91,104.0,21830957.0
183,183,13 Assassins,6000000,Adventure,ja,9.534232,9/9/10,141.0,17555141.0
184,184,Click,82500000,Comedy,en,9.796552,6/22/06,107.0,237681299.0
185,185,Love's Deadly Triangle: The Texas Cadet Murder,14000000,Drama,en,1.36737,2/20/97,93.0,161001698.0
186,186,Trailer Park Boys: The Movie,5000000,Comedy,en,3.172765,10/6/06,95.0,3833507.0
187,187,West of Zanzibar,259000,Drama,en,0.722511,11/24/28,65.0,921000.0
188,188,WALL·E,180000000,Animation,en,16.088366,6/22/08,98.0,521311860.0
189,189,The Single Moms Club,18000000.0,Drama,en,12.017861,3/14/14,111.0,16337881.0
190,190,Hellraiser: Bloodline,4000000,Horror,en,5.263187,3/8/96,86.0,16675000.0
191,191,What to Expect When You're Expecting,40000000,Romance,en,7.271503,5/17/12,110.0,79700000.0
192,192,Absolutely Fabulous: The Movie,18000000.0,Comedy,en,6.395748,7/1/16,91.0,37915971.0
193,193,Revenge of the Ninja,18000000.0,Action,en,13.762328,9/7/83,90.0,13168027.0
194,194,Life During Wartime,4500000,Comedy,en,3.311392,10/10/09,97.0,744816.0
195,195,The Song of Sparrows,18000000.0,Drama,fa,1.165679,10/1/08,96.0,115605.0
196,196,Cameron's Closet,7000000,Horror,en,0.861473,12/2/88,87.0,136203.0
197,197,The Sentinel,60000000,Action,en,12.915358,4/19/06,108.0,77920346.0
198,198,Ready to Rumble,24000000,Action,en,3.69298,4/7/00,107.0,12372410.0
199,199,The Drop,12600000,Drama,en,11.695036,9/12/14,106.0,19054534.0
200,200,Charlotte's Web,85000000,Comedy,en,10.254314,12/15/06,97.0,144000000.0
201,201,Earth Girls Are Easy,10000000,Music,en,11.509677,9/8/88,100.0,3916303.0
202,202,Free Birds,55000000,Animation,en,7.713231,10/30/13,91.0,110000000.0
203,203,The Simpsons Movie,75000000,Animation,en,14.302911,7/25/07,87.0,527068851.0
204,204,Once Bitten,3200000,Horror,en,6.174699,11/15/85,94.0,10000000.0
205,205,Captive,2000000,Crime,en,5.396271,9/17/15,97.0,2801508.0
206,206,One False Move,18000000.0,Crime,en,3.14325,5/8/92,105.0,1543112.0
207,207,Mighty Morphin Power Rangers: The Movie,15000000,Action,en,7.024227,6/30/95,92.0,66000000.0
208,208,Brainscan,18000000.0,Fantasy,en,8.096719,4/22/94,96.0,4352094.0
209,209,Hidalgo,100000000,Western,en,8.140709,3/5/04,136.0,108103450.0
210,210,An American Werewolf in Paris,22000000,Horror,en,7.145784,12/25/97,105.0,26570463.0
211,211,Jaws,7000000,Horror,en,19.726114,6/18/75,124.0,470654000.0
212,212,Father Hood,18000000.0,Action,en,2.011108,8/27/93,95.0,3418141.0
213,213,Rowdy Rathore,6700000,Action,hi,1.312833,6/1/12,143.0,31000000.0
214,214,The Iceman,20000000,Thriller,en,13.132127,9/1/12,105.0,1969193.0
215,215,Identity Thief,35000000,Comedy,en,7.321172,2/7/13,111.0,173965010.0
216,216,Stand by Me Doraemon,35000000,Fantasy,ja,6.493765,8/8/14,90.0,83061158.0
217,217,Stripes,10000000,Action,en,11.341505,6/25/81,106.0,85300000.0
218,218,Sällskapsresan - eller finns det svenskt kaffe på grisfesten?,18000000.0,Comedy,sv,2.972928,8/22/80,107.0,5010362.0
219,219,Riding Giants,2600000,Documentary,en,2.203949,7/9/04,105.0,3166000.0
220,220,City of Life and Death,12000000,Drama,zh,7.216103,4/22/09,132.0,10652498.0
221,221,Love Potion No. 9,18000000.0,Comedy,en,8.358541,11/13/92,97.0,754935.0
222,222,Meet Monica Velour,5000000,Comedy,en,1.608163,6/4/10,98.0,31649.0
223,223,Basic Instinct,49000000,Thriller,en,16.628427,3/20/92,127.0,352927224.0
224,224,Gary Gulman: It's About Time,18000000.0,Comedy,en,0.410738,5/1/16,53.0,500.0
225,225,Ned Kelly,18000000.0,Action,en,11.478361,3/22/03,110.0,6585516.0
226,226,Drive Angry,50000000,Fantasy,en,7.668829,2/24/11,105.0,28931401.0
227,227,An Education,7500000,Drama,en,8.593196,10/29/09,100.0,26096852.0
228,228,The Wild Bunch,6244087,Adventure,en,11.722424,6/17/69,145.0,638641.0
229,229,Jefferson in Paris,14000000,Drama,en,1.596058,3/31/95,139.0,2474000.0
230,230,Around the World in 80 Days,110000000,Action,en,7.825072,6/16/04,120.0,72178895.0
231,231,Ruby in Paradise,800000,Drama,en,0.941994,10/8/93,114.0,1001437.0
232,232,Le Week-End,18000000.0,Comedy,en,3.74133,10/4/13,93.0,2225098.0
233,233,Sweetgrass,18000000.0,Western,en,0.492745,2/4/09,101.0,206728.0
234,234,The Lost City of Z,30000000,Action,en,21.791111,10/15/16,140.0,8574339.0
235,235,The Last Mimzy,18000000.0,Adventure,en,6.183051,2/9/07,94.0,27297451.0
236,236,Bordello of Blood,15000000,Horror,en,3.450402,8/16/96,87.0,5600000.0
237,237,The National Shotgun,18000000.0,Comedy,es,0.619347,9/14/78,95.0,1622164.0
238,238,Ghost,22000000,Fantasy,en,11.945397,7/12/90,127.0,505000000.0
239,239,Drumline,20000000,Drama,en,5.270187,12/13/02,118.0,57588485.0
240,240,Gang Related,18000000.0,Action,en,2.592927,10/8/97,102.0,5790448.0
241,241,Legends of Oz: Dorothy's Return,70000000,Animation,en,6.660309,6/13/13,88.0,18662027.0
242,242,Summer Wars,18000000.0,Animation,ja,12.653798,8/1/09,114.0,80768.0
243,243,Home for the Holidays,18000000.0,Comedy,en,8.416802,11/2/95,103.0,17519169.0
244,244,Love at First Bite,18000000.0,Romance,en,2.738421,4/26/79,96.0,43885000.0
245,245,Sex Drive,19000000,Comedy,en,9.106146,10/16/08,109.0,18755936.0
246,246,The Mask,23000000,Romance,en,14.13488,7/29/94,101.0,351583407.0
247,247,Downfall,18339750,Drama,de,7.69224,9/8/04,156.0,92180910.0
248,248,Swordfish,102000000,Action,en,9.646208,6/7/01,99.0,147080413.0
249,249,Death on the Nile,7920000,Mystery,en,11.162277,10/6/78,140.0,14560084.0
250,250,Would I Lie to You? 2,12560000,Comedy,fr,4.052991,2/7/01,105.0,42700000.0
251,251,Cutthroat Island,98000000,Action,en,7.284477,12/22/95,119.0,10017322.0
252,252,Club Dread,8500000,Comedy,en,6.57613,2/27/04,104.0,5001655.0
253,253,Delhi Dance,18000000.0,Drama,ru,0.241287,11/29/12,95.0,30292.0
254,254,Voracious,11178,Comedy,en,0.079287,9/5/12,104.0,34659.0
255,255,Bad Words,9500000,Comedy,en,5.847166,9/6/13,88.0,7800000.0
256,256,Everest,55000000,Adventure,en,10.758754,9/10/15,121.0,203427584.0
257,257,Love Me Tender,1000000,Drama,en,1.157582,11/15/56,89.0,9000000.0
258,258,Ghost in the Shell,18000000.0,Action,ja,10.686166,11/18/95,83.0,2287714.0
259,259,The Terrorist,24554,Drama,en,0.154526,9/12/98,95.0,140021.0
260,260,Rocket Gibraltar,18000000.0,Drama,en,0.871303,9/2/88,99.0,187349.0
261,261,RV,50000000,Comedy,en,11.511424,4/28/06,99.0,87528173.0
262,262,Norwegian Wood,18000000.0,Drama,ja,6.972723,12/11/10,133.0,17636261.0
263,263,Cherry 2000,10000000,Science Fiction,en,2.849779,11/12/87,99.0,14000.0
264,264,Undertow,18000000.0,Drama,en,2.799447,5/14/04,108.0,143597.0
265,265,25th Hour,15000000,Crime,en,10.271871,12/16/02,135.0,13060843.0
266,266,Into the Wild,15000000,Adventure,en,15.423538,9/11/07,148.0,56255142.0
267,267,Clerks,27000,Comedy,en,10.513367,9/13/94,92.0,3151130.0
268,268,Stormbreaker,40000000,Adventure,en,8.778999,7/21/06,93.0,23937870.0
269,269,Glass: A Portrait of Philip in Twelve Parts,18000000.0,Documentary,en,0.498877,9/7/07,119.0,20.0
270,270,Diary of a Wimpy Kid: Rodrick Rules,21000000,Family,en,8.425361,3/25/11,99.0,72417394.0
271,271,Talladega Nights: The Ballad of Ricky Bobby,72500000,Comedy,en,6.936688,8/4/06,116.0,162966177.0
272,272,Marked for Death,12000000,Action,en,5.845712,10/5/90,94.0,46044400.0
273,273,Marmaduke,50000000,Family,en,12.285545,6/4/10,87.0,83761844.0
274,274,You've Got Mail,65000000,Comedy,en,10.237996,12/17/98,119.0,250821495.0
275,275,We Steal Secrets: The Story of WikiLeaks,18000000.0,Documentary,en,8.469808,5/24/13,127.0,602042.0
276,276,Arundhati,2915739,Horror,te,0.558002,1/16/09,132.0,14000000.0
277,277,Six Days Seven Nights,70000000,Action,en,18.324219,6/12/98,98.0,164000000.0
278,278,Goat,18000000.0,Drama,en,2.523707,9/23/16,102.0,23020.0
279,279,Collateral,65000000,Drama,en,13.455112,8/4/04,120.0,217764291.0
280,280,Bats,18000000.0,Horror,en,2.584025,10/22/99,91.0,10.0
281,281,The Cabin in the Woods,30000000,Horror,en,14.811958,4/12/12,95.0,66486080.0
282,282,Living Out Loud,12000000,Comedy,en,1.575026,10/30/98,100.0,12902790.0
283,283,Paris,19000000,Drama,fr,4.249948,1/19/08,130.0,23550000.0
284,284,End of Watch,7000000,Crime,en,7.45279,9/20/12,109.0,48126384.0
285,285,Space Truckers,25000000,Comedy,en,3.596317,3/1/96,95.0,1614266.0
286,286,Split,9000000,Horror,en,28.920839,11/15/16,117.0,276921998.0
287,287,Exit to Eden,18000000.0,Thriller,en,4.322726,10/14/94,113.0,6841570.0
288,288,Biker Boyz,24000000,Action,en,11.269558,1/31/03,110.0,23510601.0
289,289,Thumbelina,28000000,Animation,en,13.856199,3/30/94,87.0,11373501.0
290,290,Four Weddings and a Funeral,6000000,Comedy,en,8.990345,3/9/94,117.0,254700832.0
291,291,The Lookout,16000000,Crime,en,12.153493,3/9/07,99.0,5367030.0
292,292,Unbroken,65000000,Drama,en,10.543955,12/25/14,137.0,163442937.0
293,293,Four Days in September,18000000.0,Action,pt,1.791965,5/1/97,110.0,310724.0
294,294,The Hunger Games: Mockingjay - Part 2,160000000,Action,en,26.628178,11/18/15,137.0,653428261.0
295,295,The Inhabited Island 2: Rebellion,18000000.0,Action,ru,1.763116,4/23/09,99.0,5873871.0
296,296,Dragonfly,60000000,Drama,en,4.924078,2/22/02,104.0,52322400.0
297,297,Cradle 2 the Grave,25000000,Action,en,8.364587,2/28/03,101.0,56489558.0
298,298,Scenes from a Mall,3000000,Comedy,en,1.739182,2/22/91,89.0,9563393.0
299,299,Highway to Hell,9000000,Fantasy,en,1.80809,11/21/91,94.0,26055.0
300,300,Tremors,11000000,Action,en,15.750026,1/19/90,96.0,48572000.0
301,301,I'm No Angel,225000,Comedy,en,1.533379,10/6/33,87.0,2850000.0
302,302,Romance & Cigarettes,18000000.0,Comedy,en,2.36594,9/13/05,105.0,2945242.0
303,303,Guilty as Sin,18000000.0,Drama,en,5.385108,6/4/93,107.0,22886222.0
304,304,Braddock: Missing in Action III,18000000.0,Action,en,7.362552,1/22/88,101.0,6193901.0
305,305,Gangs of New York,100000000,Drama,en,14.922399,12/14/02,167.0,193772504.0
306,306,Where the Wild Things Are,100000000,Family,en,12.36223,10/16/09,101.0,100086793.0
307,307,Live by Night,108000000,Crime,en,19.94393,12/25/16,129.0,22678555.0
308,308,Mr. 3000,30000000,Comedy,en,4.902869,6/15/04,104.0,21800302.0
309,309,Freaky Friday,26000000,Comedy,en,7.867999,8/3/03,97.0,110230332.0
310,310,Chloe,15000000,Drama,en,10.445867,3/25/09,96.0,8459458.0
311,311,Laurence Anyways,9500000,Drama,fr,8.59498,5/18/12,168.0,12250.0
312,312,The Cookout,16000000,Comedy,en,1.758079,9/3/04,97.0,12.0
