,film,budget,genres,original_language,popularity,production_companies,release_date,runtime,revenue
19,Transporter 2,32000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,11.359659,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Current Entertainment', 'id': 972}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'TPS Star', 'id': 6586}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Sea Side Films Florida Inc.', 'id': 95342}]",2005-08-02,87.0,85167639.0
20,Lost in Space,80000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",en,12.000579,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Irwin Allen Productions', 'id': 14024}, {'name': 'Prelude Pictures', 'id': 19902}, {'name': 'Saltire Entertainment', 'id': 30253}]",1998-04-03,130.0,136159423.0
21,Friday the 13th Part III,4000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,7.99229,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Jason Productions', 'id': 7513}]",1982-08-13,95.0,36690067.0
22,V/H/S,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",en,7.820787,"[{'name': 'The Collective', 'id': 15156}, {'name': 'Bloody Disgusting', 'id': 15157}, {'name': '8383 Productions', 'id': 15158}]",2012-07-28,116.0,100345.0
23,InSight,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10769, 'name': 'Foreign'}]",en,1.323333,"[{'name': '\xa0Braeburn Entertainment', 'id': 8053}, {'name': '\xa0Check Entertainment', 'id': 8054}, {'name': 'G.C. Pix\xa0', 'id': 8055}]",2011-09-02,92.0,17011.0
24,Black Sheep,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",en,7.434577,"[{'name': 'New Zealand Film Commission', 'id': 294}, {'name': 'Live Stock Films', 'id': 1466}]",2006-09-09,87.0,4947717.0
25,Dr. Giggles,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,1.252367,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}]",1992-10-23,95.0,8403433.0
26,The Spanish Prisoner,10000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,4.305735,"[{'name': 'Jean Doumanian Productions', 'id': 16280}, {'name': 'Sweetland Films', 'id': 21716}, {'name': 'Magnolia Films', 'id': 65514}, {'name': 'Jasmine Productions Inc.', 'id': 65515}]",1997-09-08,110.0,13835130.0
27,What If,11000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,10.841891,"[{'name': 'Fastnet Films', 'id': 5353}, {'name': 'Caramel Film', 'id': 23108}, {'name': 'No Trace Camping', 'id': 35846}]",2013-09-07,93.0,7847000.0
28,The Transformers: The Movie,6000000.0,"[{'id': 16, 'name': 'Animation'}]",en,6.759181,"[{'name': 'De Laurentiis Entertainment Group (DEG)', 'id': 484}, {'name': 'Marvel Productions', 'id': 2301}, {'name': 'Hasbro', 'id': 2598}, {'name': 'Sunbow Productions', 'id': 3313}]",1986-08-08,84.0,5849647.0
29,Changing Lanes,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,7.81862,"[{'name': 'Paramount Pictures', 'id': 4}]",2002-04-07,89.0,94935764.0
30,The Intouchables,13000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",fr,16.086919,"[{'name': 'Gaumont', 'id': 9}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinéCinéma', 'id': 6301}, {'name': 'Quad Productions', 'id': 7038}, {'name': 'Chaocorp', 'id': 7766}, {'name': 'Ten Films', 'id': 8018}, {'name': 'TF1', 'id': 22123}]",2011-11-02,112.0,426480871.0
31,Caché,0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",fr,5.69586,"[{'name': 'Les Films du Losange', 'id': 223}, {'name': 'Wega Film', 'id': 224}, {'name': 'BIM Distribuzione', 'id': 225}, {'name': 'Centre National de la Cinématographie', 'id': 310}, {'name': 'Filmstiftung Nordrhein-Westfalen', 'id': 315}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Eurimages', 'id': 850}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Canal+', 'id': 5358}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}, {'name': 'Filmfonds Wien', 'id': 10273}, {'name': 'ORF Film/Fernseh-Abkommen', 'id': 11388}, {'name': 'Österreichisches Filminstitut', 'id': 11389}]",2005-05-02,117.0,36000000.0
32,The Last Witch Hunter,90000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,13.412445,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Atmosphere Entertainment MM', 'id': 2995}, {'name': 'One Race Films', 'id': 7154}, {'name': 'Goldmann Pictures', 'id': 12006}, {'name': 'NeoReel', 'id': 24097}, {'name': 'Aperture Entertainment', 'id': 33832}, {'name': 'TIK Films', 'id': 72441}]",2015-10-21,106.0,146936910.0
33,ABCs of Death 2,0.0,"[{'id': 27, 'name': 'Horror'}]",en,8.254856,"[{'name': 'Magnet Releasing', 'id': 3595}, {'name': 'Drafthouse Films', 'id': 10485}, {'name': 'Timpson Films', 'id': 19324}]",2014-10-02,125.0,7171.0
34,Rush Hour 3,140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,9.718111,"[{'name': 'New Line Cinema', 'id': 12}]",2007-08-08,91.0,258022233.0
35,Safe,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,8.234382,"[{'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'IM Global', 'id': 7437}, {'name': 'Automatik Entertainment', 'id': 7625}, {'name': 'Trigger Street Productions', 'id': 11801}, {'name': '87Eleven', 'id': 23008}]",2012-04-16,94.0,40346186.0
36,About Adam,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,2.100499,"[{'name': 'Bórd Scannán na hÉireann', 'id': 1898}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'Venus Productions', 'id': 16836}]",2000-01-28,105.0,151559.0
37,Outbreak,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,13.676444,"[{'name': 'Kopelson Entertainment', 'id': 824}, {'name': 'Punch Productions', 'id': 2154}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Arnold Kopelson Productions', 'id': 16775}]",1995-03-10,127.0,189859560.0
38,Final: The Rapture,0.0,"[{'id': 53, 'name': 'Thriller'}]",en,0.32926,,2013-09-13,90.0,92100.0
39,Major Dundee,3800000.0,"[{'id': 10752, 'name': 'War'}, {'id': 37, 'name': 'Western'}]",en,3.055936,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Jerry Bresler Productions', 'id': 11971}]",2065-04-07,123.0,14873.0
40,Cocaine Cowboys,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 99, 'name': 'Documentary'}]",en,2.941626,"[{'name': 'Rakontur', 'id': 6303}]",2006-04-26,118.0,163000.0
41,Cool Hand Luke,3000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,9.718713,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Jalem Productions', 'id': 11496}]",2067-06-22,126.0,16217773.0
42,The Next Best Thing,25000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,2.971999,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lakeshore Entertainment', 'id': 126}]",2000-03-03,108.0,24362772.0
43,5 Flights Up,6000000.0,"[{'id': 18, 'name': 'Drama'}]",en,9.383088,"[{'name': 'Revelations Entertainment', 'id': 906}, {'name': 'Lascaux Films', 'id': 30997}, {'name': 'Latitude Productions', 'id': 30998}]",2014-09-05,92.0,1020921.0
44,The Wedding Date,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,5.615303,"[{'name': '26 Films', 'id': 2157}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'Visionview Production', 'id': 29018}]",2005-02-04,88.0,47175038.0
45,The Double Hour,3906840.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",it,2.382068,"[{'name': 'Indigo Film', 'id': 1533}, {'name': 'Medusa Film', 'id': 6246}]",2009-10-09,95.0,4300000.0
46,Ice Age: The Meltdown,80000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,16.646029,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]",2006-03-23,91.0,660940780.0
47,The Hateful Eight,44000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 37, 'name': 'Western'}]",en,20.328822,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'The Weinstein Company', 'id': 308}, {'name': 'FilmColony', 'id': 1811}]",2015-12-25,167.0,155760117.0
48,Wilson,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,8.984386,"[{'name': 'Ad Hominem Enterprises', 'id': 2361}]",2017-03-24,94.0,653951.0
49,Star Trek: Generations,38000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,8.105708,"[{'name': 'Paramount Pictures', 'id': 4}]",1994-11-17,118.0,120000000.0
50,"Moscow, Belgium",560000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",nl,1.572904,,2008-01-30,102.0,1500000.0
51,The Great Race,12000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",en,4.473327,"[{'name': 'Warner Bros.', 'id': 6194}]",2065-07-01,160.0,25333333.0
52,The Last Flight of Noah's Ark,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",en,1.012665,"[{'name': 'Walt Disney Productions', 'id': 3166}]",1980-06-24,97.0,11000000.0
53,For Keeps,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,5.410839,"[{'name': 'TriStar Pictures', 'id': 559}]",1988-01-15,98.0,17514553.0
54,Risen,20000000.0,"[{'id': 28, 'name': 'Action'}]",en,8.759801,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Affirm Films', 'id': 10156}, {'name': 'LD Entertainment', 'id': 10285}, {'name': 'Patrick Aiello Productions', 'id': 59827}]",2016-02-19,107.0,46069568.0
55,Son in Law,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,9.122718,"[{'name': 'Hollywood Pictures', 'id': 915}]",1993-07-02,95.0,36448200.0
56,Queen to Play,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",fr,2.94798,"[{'name': 'Mon Voisin Productions', 'id': 22983}]",2009-08-05,97.0,1056938.0
57,Batman & Robin,125000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",en,17.038824,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Warner Bros.', 'id': 6194}]",1997-06-20,125.0,238207122.0
58,Were The World Mine,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,1.882446,"[{'name': 'Speak Productions', 'id': 3599}]",2008-06-24,95.0,119563.0
59,All About the Benjamins,14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",en,3.909079,"[{'name': 'New Line Cinema', 'id': 12}]",2002-03-08,95.0,25482931.0
60,Casino Royale,150000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,23.065078,"[{'name': 'Eon Productions', 'id': 7576}, {'name': 'Stillking Films', 'id': 11345}, {'name': 'Babelsberg Film', 'id': 19481}]",2006-11-14,144.0,599045960.0
61,Trapeze,4000000.0,"[{'id': 18, 'name': 'Drama'}]",en,1.801071,"[{'name': 'Joanna Productions', 'id': 5799}]",2056-05-30,105.0,14400000.0
62,Fallen,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,6.381612,"[{'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Turner Pictures (I)', 'id': 6189}]",1998-01-16,124.0,25232289.0
63,Friday the 13th Part VIII: Jason Takes Manhattan,5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,7.743144,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Sean S. Cunningham Films', 'id': 17611}, {'name': 'Horror Inc.', 'id': 62948}]",1989-07-28,100.0,14000000.0
64,Nebraska,12000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",en,11.160699,"[{'name': 'Paramount Vantage', 'id': 838}, {'name': 'Bona Fide Productions', 'id': 2570}]",2013-09-21,115.0,17654912.0
65,Bloodsport,1500000.0,"[{'id': 28, 'name': 'Action'}]",en,8.822276,"[{'name': 'Cannon Films', 'id': 4110}]",1988-02-26,92.0,11806119.0
66,Henry's Crime,12000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,5.145185,"[{'name': 'Company Films', 'id': 7193}, {'name': 'Moving Pictures Film and Television', 'id': 7595}]",2010-01-14,108.0,204940.0
67,A Touch of Sin,0.0,"[{'id': 18, 'name': 'Drama'}]",zh,6.303552,"[{'name': 'Office Kitano', 'id': 567}, {'name': 'Xstream Pictures', 'id': 1079}, {'name': 'Shanghai Film Group', 'id': 3407}]",2013-10-04,133.0,154120.0
68,To Kill a Mockingbird,2000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,14.284787,"[{'name': 'Universal Pictures', 'id': 33}]",2062-12-25,129.0,13129846.0
69,The Fast and the Furious: Tokyo Drift,85000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,2.238808,"[{'name': 'Universal Pictures', 'id': 33}]",2006-06-03,104.0,158468292.0
70,The Jacket,29000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",en,12.092096,"[{'name': 'Section Eight', 'id': 129}, {'name': 'Mandalay Pictures', 'id': 551}, {'name': 'VIP 3 Medienfonds', 'id': 827}, {'name': '2929 Productions', 'id': 846}, {'name': 'Rising Star', 'id': 1208}, {'name': 'VIP 2 Medienfonds', 'id': 3801}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}]",2005-03-04,103.0,21126225.0
71,The Motorcycle Diaries,0.0,"[{'id': 18, 'name': 'Drama'}]",es,7.667491,"[{'name': 'Senator Film Produktion', 'id': 191}, {'name': 'Wildwood Enterprises', 'id': 316}, {'name': 'Sound for Film', 'id': 1143}, {'name': 'Inca Films S.A.', 'id': 6638}, {'name': 'Filmfour', 'id': 6705}, {'name': 'BD Cine', 'id': 9962}, {'name': 'Tu Vas Voir Productions', 'id': 17469}, {'name': 'Sahara Films', 'id': 19027}]",2004-02-06,126.0,16756372.0
72,Cry-Baby,11000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",en,8.290384,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",1990-04-05,85.0,8266343.0
73,Czech Dream,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",cs,0.919556,,2004-03-30,90.0,17393.0
74,Jackson County Jail,445000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,2.482536,"[{'name': 'New World Pictures', 'id': 1950}]",1976-03-31,84.0,2300000.0
75,Fright Night,17000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",en,9.665251,"[{'name': 'Touchstone Pictures', 'id': 9195}]",2011-08-18,106.0,24922237.0
76,Kandukondain Kandukondain,500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",ta,0.660663,,2000-05-05,157.0,500000.0
77,Caddyshack,6000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,10.451986,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Warner Bros.', 'id': 6194}]",1980-07-25,98.0,39846344.0
78,Sharky's Machine,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,2.633399,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Deliverance Productions', 'id': 11593}]",1981-12-18,122.0,35610100.0
79,31,1500000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,6.636625,"[{'name': 'Spectacle Entertainment Group', 'id': 10370}, {'name': 'Windy Hill Pictures', 'id': 18922}, {'name': 'Protagonist Pictures', 'id': 20277}, {'name': 'Bow and Arrow Entertainment', 'id': 37432}, {'name': 'PalmStar Media', 'id': 49152}]",2016-09-15,102.0,779820.0
80,Dark Blue,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,4.98408,"[{'name': 'United Artists', 'id': 60}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'IM Filmproduktion', 'id': 1809}, {'name': 'Cosmic Pictures', 'id': 1810}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Alphaville Films', 'id': 11462}]",2002-12-14,118.0,9237470.0
81,Shopgirl,10284523.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,4.349046,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Hyde Park Films', 'id': 1172}, {'name': 'Shopgirl', 'id': 1173}, {'name': 'Touchstone Pictures', 'id': 9195}]",2005-10-21,104.0,11588205.0
82,The Skeleton Key,43000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,10.947957,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'MFPV Film', 'id': 69}, {'name': 'Double Feature Films', 'id': 215}, {'name': 'ShadowCatcher Entertainment', 'id': 12269}, {'name': 'Daniel Bobker Productions', 'id': 12270}, {'name': 'Brick Dust Productions LLC', 'id': 12271}]",2005-07-29,104.0,91974818.0
83,2010,28000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,7.482865,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1984-12-06,116.0,40400657.0
84,Silent House,2000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,10.239941,"[{'name': 'Elle Driver', 'id': 6930}, {'name': 'Tazora Films', 'id': 25904}]",2011-01-21,85.0,13101672.0
85,Congo,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,7.260574,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}]",1995-06-09,109.0,152022101.0
86,Kramer vs. Kramer,8000000.0,"[{'id': 18, 'name': 'Drama'}]",en,9.741644,"[{'name': 'Columbia Pictures', 'id': 5}]",1979-12-18,105.0,106260000.0
87,Rumble in the Bronx,7500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",cn,12.314278,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Golden Harvest Company', 'id': 2521}]",1995-01-30,91.0,32392047.0
